id,series_name,country,frequency,transformation,category,units,data_code,item_id,api_source,Block_Global,Block_Consumption,Block_Invest,Block_Extern,is_kpi
0,Real GDP (Quarterly),Korea,q,pca,GDP,Billion Won,200Y106,1400,BOK,1,0,0,0,1
1,Nominal GDP (Quarterly),Korea,q,pca,GDP,Billion Won,200Y105,1400,BOK,1,0,0,0,1
2,Total Capital Formation (Quarterly),Korea,q,pca,GDP,Billion Won,200Y109,10201,BOK,1,0,1,0,1
3,Gross Fixed Capital Formation (Quarterly),Korea,q,pca,Investment,Billion Won,200Y129,10101,BOK,1,0,1,0,1
4,M1 Money Supply (Monthly),Korea,m,pch,Financial,Billion Won,101Y019,BBLA00,BOK,1,0,0,0,1
5,M2 Money Supply (Monthly),Korea,m,pch,Financial,Billion Won,101Y004,BBHA00,BOK,1,0,0,0,1
6,Employment Rate (Monthly),Korea,m,lin,Labor,Percent,101_DT_1DA7002S,T90,KOSIS,1,0,0,0,1
7,Unemployment Rate (Monthly),Korea,m,lin,Labor,Percent,101_DT_1DA7002S,T80,KOSIS,1,0,0,0,1
8,Industrial Production Index (Monthly),Korea,m,pch,Investment,Index,901Y033,A00,BOK,1,0,1,0,1
9,Total Bank Loans (Monthly),Korea,m,pch,Financial,Billion Won,104Y016,BDCA1,BOK,1,0,0,0,1
10,Balance of Payments - Goods (Monthly),Korea,m,chg,External,Million Dollars,301Y013,100000,BOK,1,0,0,1,1
11,Producer Price Index (Monthly),Korea,m,pch,Investment,Index,404Y014,*AA,BOK,1,0,1,0,1
12,Total Exports (Monthly),Korea,m,pch,External,Thousand Dollars,901Y011,FIEE,BOK,1,0,0,1,1
13,Total Imports (Monthly),Korea,m,pch,External,Thousand Dollars,901Y012,FIEF,BOK,1,0,0,1,1
14,Domestic Construction Orders (Monthly),Korea,m,pch,Investment,Million Won,901Y020,I42A,BOK,1,0,1,0,1
15,KRW/USD Exchange Rate (Daily),Korea,d,pch,External,Won per Dollar,731Y001,0000001,BOK,1,0,0,1,1
16,KOSPI Index (Daily),Korea,d,pch,Financial,Index,802Y001,0001000,BOK,1,0,0,0,1
